TABLE_NAME;PARSER_DATE;DATA_DATE;LOADER_DATE;LOADER_STATE;LOAD_DATE;LOADER_DATA_COUNT;LOADER_COUNT;HOURLY_STATE;SYSTEM_ID;DTYPE;DAILY_STATE;ORG_TABLE
CELLSTS_4G_NW;07.12.2025 10:29;07.12.2025 09:00;07.12.2025 10:44;2;07.12.2025 10:44;0;1;1;21;3;0;CELLSTS_4G
CELLSTS_4G_RBAND;07.12.2025 10:29;07.12.2025 09:00;07.12.2025 10:45;2;07.12.2025 10:45;0;1;1;21;8;0;CELLSTS_4G
CELLSTS_4G_SRCITY;07.12.2025 10:29;07.12.2025 09:00;07.12.2025 10:48;2;07.12.2025 10:49;0;1;1;21;13;0;CELLSTS_4G
CELLSTS_4G_SUB_REGION;07.12.2025 10:29;07.12.2025 09:00;07.12.2025 10:44;2;07.12.2025 10:44;0;1;1;21;5;0;CELLSTS_4G
CELLSTS_4G;07.12.2025 11:29;07.12.2025 10:00;07.12.2025 11:33;2;07.12.2025 11:42;0;1;1;21;1;0;CELLSTS_4G
CELLSTS_4G_CBAND;07.12.2025 11:29;07.12.2025 10:00;07.12.2025 11:44;2;07.12.2025 11:45;0;1;1;21;9;0;CELLSTS_4G
CELLSTS_4G_CITY;07.12.2025 11:29;07.12.2025 10:00;07.12.2025 11:44;2;07.12.2025 11:44;0;1;1;21;6;0;CELLSTS_4G
CELLSTS_4G_DFBAND;07.12.2025 11:29;07.12.2025 10:00;07.12.2025 11:48;2;07.12.2025 11:56;0;1;1;21;14;0;CELLSTS_4G
CELLSTS_4G_ENODEB;07.12.2025 11:29;07.12.2025 10:00;07.12.2025 11:42;2;07.12.2025 11:44;0;1;1;21;2;0;CELLSTS_4G
CELLSTS_4G_FBAND;07.12.2025 11:29;07.12.2025 10:00;07.12.2025 11:44;2;07.12.2025 11:44;0;1;1;21;7;0;CELLSTS_4G
CELLSTS_4G_ILCE;07.12.2025 11:29;07.12.2025 10:00;07.12.2025 11:45;2;07.12.2025 11:45;0;1;1;21;10;0;CELLSTS_4G
CELLSTS_4G_MAHALLE;07.12.2025 11:29;07.12.2025 10:00;07.12.2025 11:45;2;07.12.2025 11:45;0;1;1;21;11;0;CELLSTS_4G
CELLSTS_4G_MAIN_REGION;07.12.2025 11:29;07.12.2025 10:00;07.12.2025 11:44;2;07.12.2025 11:44;0;1;1;21;4;0;CELLSTS_4G
CELLSTS_4G_NFBAND;07.12.2025 11:29;07.12.2025 10:00;07.12.2025 11:45;2;07.12.2025 11:48;0;1;1;21;12;0;CELLSTS_4G
CELLSTS_4G_NW;07.12.2025 11:29;07.12.2025 10:00;07.12.2025 11:44;2;07.12.2025 11:44;0;1;1;21;3;0;CELLSTS_4G
CELLSTS_4G_RBAND;07.12.2025 11:29;07.12.2025 10:00;07.12.2025 11:44;2;07.12.2025 11:44;0;1;1;21;8;0;CELLSTS_4G
CELLSTS_4G_SRCITY;07.12.2025 11:29;07.12.2025 10:00;07.12.2025 11:48;2;07.12.2025 11:48;0;1;1;21;13;0;CELLSTS_4G
CELLSTS_4G_SUB_REGION;07.12.2025 11:29;07.12.2025 10:00;07.12.2025 11:44;2;07.12.2025 11:44;0;1;1;21;5;0;CELLSTS_4G
